11,A11,Z11,student11@school.com,848-000-1011,F,2006-02-11,2025-04-03,EC,2.3799999999999999,Dorm Room11,City2,Test_State,00101,Guardian of A11,2029-04-02,63,2936.9500,1,Active
12,A12,Z12,student12@school.com,848-000-1012,M,2006-02-10,2025-04-01,CS,2.1600000000000001,Dorm Room12,City1,Test_State,00101,Guardian of A12,2029-07-31,66,4454.5200,0,Active
13,A13,Z13,student13@school.com,848-000-1013,F,2006-02-09,2025-04-08,EC,3.9900000000000002,Dorm Room13,City2,Test_State,00101,Guardian of A13,2029-11-28,69,4865.3700,1,Active
14,A14,Z14,student14@school.com,848-000-1014,M,2006-02-08,2025-04-14,EC,2.8599999999999999,Dorm Room14,City1,Test_State,00101,Guardian of A14,2030-03-28,72,5976.8400,0,Inactive
15,A15,Z15,student15@school.com,848-000-1015,F,2006-02-07,2025-04-16,CS,3.8100000000000001,Dorm Room15,City2,Test_State,00101,Guardian of A15,2030-07-26,75,4679.5500,1,Active
16,A16,Z16,student16@school.com,848-000-1016,M,2006-02-06,2025-04-01,EC,2.1400000000000001,Dorm Room16,City1,Test_State,00101,Guardian of A16,2030-11-23,78,5254.7000,0,Inactive
18,A18,Z18,student18@school.com,848-000-1018,M,2006-02-07,2025-04-15,CS,2.2999999999999998,Dorm Room18,City1,Test_State,00101,Guardian of A18,2031-07-24,84,4877.3700,0,Inactive
20,A20,Z20,student20@school.com,848-000-1020,M,2006-02-05,2025-04-02,EC,3.7799999999999998,Dorm Room20,City1,Test_State,00101,Guardian of A20,2032-03-20,90,5399.4600,0,Inactive
17,A17,Z17,student17@school.com,848-000-1017,F,2006-02-08,2025-04-14,EC,3.27,Dorm Room17,City2,Test_State,00101,Guardian of A17,2031-03-26,81,4665.9400,1,Active
19,A19,Z19,student19@school.com,848-000-1019,F,2006-02-06,2025-04-11,EC,3.9900000000000002,Dorm Room19,City2,Test_State,00101,Guardian of A19,2031-11-21,87,4869.6400,1,Active
